x,y,z,intensity,return_number,number_of_returns,scan_direction_flag,edge_of_flight_line,classification,user_data,point_source_id,scan_angle,gps_time,red,green,blue,nir,wavepacket_index,wavepacket_offset,wavepacket_size,return_point_wave_location,x_t,y_t,z_t,GridID,Confidence
99.779,199.664,50.174,663,4,5,1,0,2,10,1000,-929,400000.00099999999,1178,2188,6109,0,0,0,0,0,0,0,0,0,0
100.722,200.356,50.019,301,1,2,0,0,2,12,1001,-928,400000.00160000002,2813,4503,5883,0,0,0,0,0,0,0,0,0,0
99.876,200.730,49.910,634,1,4,0,0,2,13,1002,-930,400000.00190000003,2854,5566,8139,0,0,0,0,0,0,0,0,0,0
99.475,199.811,49.820,1445,2,3,1,0,2,19,1000,-948,400000.00230000005,3856,5642,6382,0,0,0,0,0,0,0,0,0,0
98.827,199.912,49.685,1177,1,1,0,0,2,15,1001,-961,400000.00280000007,1749,3919,7747,0,0,0,0,0,0,0,0,0,0
99.576,200.364,49.646,488,1,1,1,0,2,15,1002,-981,400000.0034000001,816,5161,7286,0,0,0,0,0,0,0,0,0,0
100.160,201.045,49.747,1605,2,5,1,0,2,13,1000,1012,400000.00350000011,536,6043,6600,0,0,0,0,0,0,0,0,0,0
100.754,201.606,49.754,1049,1,1,1,0,2,14,1002,994,400000.0045000001,304,5707,4655,0,0,0,0,0,0,0,0,0,0
99.971,201.989,49.651,16055,1,5,0,0,4,94,1034,314,400000.0046000001,25531,29062,30597,0,0,0,0,0,0,0,0,0,0
100.579,201.438,49.638,16210,3,4,0,0,4,99,1034,292,400000.00480000011,25759,28299,30886,0,0,0,0,0,0,0,0,0,0
100.344,200.476,49.472,17267,4,5,0,0,4,98,1036,277,400000.00540000014,26954,29605,28167,0,0,0,0,0,0,0,0,0,0
99.964,200.867,49.408,17701,2,2,1,0,4,95,1034,291,400000.00590000016,26626,29701,30698,0,0,0,0,0,0,0,0,0,0
99.347,201.034,49.368,24523,2,5,1,0,5,131,1051,926,400000.00670000014,39451,40648,40567,0,0,0,0,0,0,0,0,0,0
98.528,200.579,49.560,25972,2,4,1,0,5,138,1053,909,400000.00690000015,36011,40330,43971,0,0,0,0,0,0,0,0,0,0
97.986,200.225,49.686,24893,1,4,1,0,5,138,1053,886,400000.00730000017,36666,40592,40815,0,0,0,0,0,0,0,0,0,0
97.999,199.354,49.716,25567,1,5,0,0,5,136,1052,875,400000.00760000019,38799,39299,43187,0,0,0,0,0,0,0,0,0,0
97.141,199.620,49.534,24172,2,5,1,0,5,132,1053,872,400000.0079000002,38088,40793,44149,0,0,0,0,0,0,0,0,0,0
96.324,200.583,49.708,25047,2,2,0,0,5,132,1051,872,400000.00870000018,37074,40832,41606,0,0,0,0,0,0,0,0,0,0
95.544,201.194,49.700,9272,1,4,0,0,3,52,1017,-307,400000.00900000019,12684,16214,19557,0,0,0,0,0,0,0,0,0,0
95.535,201.736,49.500,9896,2,2,0,0,3,55,1019,-319,400000.00970000017,14177,17154,17806,0,0,0,0,0,0,0,0,0,0
95.318,201.211,49.403,8205,2,2,0,0,3,56,1018,-303,400000.01070000016,14242,17966,16319,0,0,0,0,0,0,0,0,0,0
95.711,200.402,49.232,1756,2,3,1,0,2,18,1001,1009,400000.01160000014,960,2976,6506,0,0,0,0,0,0,0,0,0,0
95.707,200.700,49.171,988,4,4,0,0,2,12,1001,997,400000.01170000015,1162,6123,7801,0,0,0,0,0,0,0,0,0,0
95.048,201.522,49.093,988,1,1,1,0,2,11,1001,1010,400000.01240000012,2467,2631,4232,0,0,0,0,0,0,0,0,0,0
94.375,200.728,48.907,1488,1,3,1,0,2,15,1002,983,400000.01250000013,2081,3834,6442,0,0,0,0,0,0,0,0,0,0
94.193,200.138,49.008,275,3,4,1,0,2,11,1000,1002,400010.01290000015,3092,3399,7256,0,0,0,0,0,0,0,0,0,0
94.397,199.498,48.898,25688,3,4,1,0,5,130,1051,843,400010.01310000016,39329,38441,40525,0,0,0,0,0,0,0,0,0,0
95.058,199.661,48.703,24169,1,2,0,0,5,130,1053,867,400010.01370000019,38752,40348,42096,0,0,0,0,0,0,0,0,0,0
95.444,198.671,48.853,25618,3,4,1,0,5,138,1052,862,400010.01440000016,37800,41262,42527,0,0,0,0,0,0,0,0,0,0
94.696,198.093,48.677,24304,3,3,1,1,5,130,1052,846,400010.01450000016,39963,41843,41727,0,0,0,0,0,0,0,0,0,0
94.532,197.610,48.662,25064,2,2,1,0,5,130,1051,836,400010.01460000017,38771,38905,43568,0,0,0,0,0,0,0,0,0,0
95.066,196.966,48.499,3,3,3,1,0,2,18,1001,1022,400010.01510000019,283,6074,4247,0,0,0,0,0,0,0,0,0,0
94.522,197.508,48.546,504,2,3,0,0,2,15,1002,997,400010.01610000018,3682,4100,6910,0,0,0,0,0,0,0,0,0,0
94.538,197.595,48.384,1088,2,2,0,0,2,12,1000,1007,400010.01620000019,3542,5107,6241,0,0,0,0,0,0,0,0,0,0
93.677,196.645,48.397,833,3,3,0,0,2,12,1001,1020,400010.01700000017,3627,5260,4177,0,0,0,0,0,0,0,0,0,0
92.919,197.555,48.384,9075,1,4,1,0,3,59,1017,-302,400010.01710000017,12420,18105,16530,0,0,0,0,0,0,0,0,0,0
91.988,198.257,48.190,8130,1,1,1,0,3,52,1017,-325,400010.01790000015,13195,16465,17734,0,0,0,0,0,0,0,0,0,0
91.723,197.389,48.082,9096,2,5,1,0,3,50,1018,-318,400010.01820000017,13031,15686,16505,0,0,0,0,0,0,0,0,0,0
92.320,197.674,48.186,8258,3,4,0,0,3,51,1018,-308,400010.01920000016,14350,14238,17932,0,0,0,0,0,0,0,0,0,0
93.249,197.348,48.282,17163,2,4,0,0,4,99,1034,293,400010.01990000013,25532,28728,29574,0,0,0,0,0,0,0,0,0,0
92.314,197.708,48.190,16300,3,3,0,0,4,99,1036,292,400010.02040000015,27643,27625,30807,0,0,0,0,0,0,0,0,0,0
92.290,197.346,48.240,17292,5,5,1,0,4,94,1036,263,400010.02090000018,24700,27448,31347,0,0,0,0,0,0,0,0,0,0
93.046,196.728,48.054,730,4,4,1,0,2,17,1002,1004,400010.02100000018,693,5606,5320,0,0,0,0,0,0,0,0,0,0
93.420,196.124,48.036,872,1,4,1,0,2,17,1001,997,400010.02110000019,2101,2725,5898,0,0,0,0,0,0,0,0,0,0
93.843,196.672,48.116,1068,3,4,1,0,2,15,1000,972,400010.0213000002,3640,5459,5391,0,0,0,0,0,0,0,0,0,0
94.777,196.012,48.289,1509,1,1,0,0,2,14,1001,970,400010.02220000018,3545,4698,4130,0,0,0,0,0,0,0,0,0,0
95.774,195.103,48.094,1361,1,1,0,0,2,12,1002,991,400010.02230000019,690,3862,7752,0,0,0,0,0,0,0,0,0,0
96.503,195.437,47.914,24802,3,3,0,0,5,136,1051,824,400010.02270000021,38943,41496,40122,0,0,0,0,0,0,0,0,0,0
96.960,196.320,47.840,24133,5,5,0,0,5,130,1053,834,400010.02350000018,38455,39160,42154,0,0,0,0,0,0,0,0,0,0
97.703,196.015,47.781,24759,3,5,0,0,5,135,1053,855,400010.02370000019,39474,40834,42609,0,0,0,0,0,0,0,0,0,0
97.047,196.973,47.835,24905,5,5,1,0,5,138,1053,868,400010.0238000002,38543,38145,41028,0,0,0,0,0,0,0,0,0,0
97.747,197.476,47.648,25855,2,2,0,0,5,137,1053,839,400010.02440000023,39205,41444,40257,0,0,0,0,0,0,0,0,0,0
98.634,198.192,47.533,1027,2,3,0,0,2,19,1001,1012,400010.02520000021,1533,3977,5887,0,0,0,0,0,0,0,0,0,0
97.697,198.318,47.720,830,2,2,1,0,2,17,1000,984,400010.02600000019,3478,4742,5500,0,0,0,0,0,0,0,0,0,0
97.615,198.672,47.657,1449,2,4,1,0,2,13,1000,955,400010.02650000021,141,3620,7213,0,0,0,0,0,0,0,0,0,0
98.365,197.820,47.484,720,4,5,0,0,2,10,1001,976,400010.02730000019,2425,6000,4136,0,0,0,0,0,0,0,0,0,0
99.205,198.034,47.421,108,4,5,1,0,2,18,1000,990,400010.02820000018,896,2549,4515,0,0,0,0,0,0,0,0,0,0
98.902,198.814,47.312,1271,1,4,0,0,2,18,1001,967,400010.02830000018,3434,2730,5402,0,0,0,0,0,0,0,0,0,0
98.181,199.566,47.406,594,3,4,1,0,2,10,1000,996,400010.02860000019,2486,2460,7882,0,0,0,0,0,0,0,0,0,0
97.882,199.005,47.523,795,2,4,1,0,2,12,1000,1013,400010.02910000022,1490,3996,4380,0,0,0,0,0,0,0,0,0,0
97.747,198.375,47.659,1182,4,5,0,0,2,14,1000,1031,400010.02930000023,836,5744,4564,0,0,0,0,0,0,0,0,0,0
97.392,197.623,47.661,520,1,1,1,0,2,15,1001,1052,400010.02970000025,114,3656,5403,0,0,0,0,0,0,0,0,0,0
97.118,198.314,47.727,8215,1,2,0,0,3,59,1017,-297,400010.03060000023,13610,17657,18375,0,0,0,0,0,0,0,0,0,0
98.049,197.832,47.676,8233,1,3,0,0,3,55,1019,-283,400010.03130000021,13192,17747,19766,0,0,0,0,0,0,0,0,0,0
98.333,197.080,47.685,8594,3,3,0,0,3,50,1019,-308,400010.03210000019,13933,17702,16327,0,0,0,0,0,0,0,0,0,0
98.819,197.229,47.699,9596,3,4,0,0,3,57,1017,-291,400010.0323000002,13264,16351,19917,0,0,0,0,0,0,0,0,0,0
98.644,198.227,47.527,9001,3,3,0,0,3,59,1017,-320,400010.03260000021,13416,17121,18014,0,0,0,0,0,0,0,0,0,0
98.737,198.094,47.523,8316,1,1,1,0,3,57,1018,-313,400010.03340000019,14386,15893,18215,0,0,0,0,0,0,0,0,0,0
98.315,197.762,47.634,9196,1,1,1,0,3,50,1019,-323,400020.03410000016,12128,14406,20103,0,0,0,0,0,0,0,0,0,0
97.720,197.819,47.595,8509,3,4,0,0,3,55,1019,-302,400020.03450000018,14877,17562,17237,0,0,0,0,0,0,0,0,0,0
97.923,198.419,47.420,25724,1,1,1,0,5,130,1052,845,400020.03460000019,37757,38098,41745,0,0,0,0,0,0,0,0,0,0
98.202,199.007,47.230,24206,1,3,1,0,5,132,1052,860,400020.0348000002,39781,40440,41353,0,0,0,0,0,0,0,0,0,0
98.560,198.773,47.106,25551,1,1,0,0,5,139,1053,860,400020.03560000018,39632,39553,42845,0,0,0,0,0,0,0,0,0,0
98.118,198.942,47.018,24202,1,2,0,0,5,132,1052,880,400020.0360000002,37583,40979,40468,0,0,0,0,0,0,0,0,0,0
97.707,199.406,47.074,25878,1,2,1,0,5,135,1053,2907,400020.03660000023,36339,40383,40475,0,0,0,0,0,0,0,0,0,0
97.938,199.472,47.213,24281,5,5,1,0,5,132,1053,2910,400020.0374000002,38017,40028,42141,0,0,0,0,0,0,0,0,0,0
97.152,199.344,47.321,25113,1,1,0,0,5,130,1053,2931,400030.03830000019,39325,38123,41517,0,0,0,0,0,0,0,0,0,0
96.466,198.764,47.459,25807,2,3,1,0,5,131,1051,2913,400030.03910000017,38622,42105,40697,0,0,0,0,0,0,0,0,0,0
96.615,199.011,47.627,25321,1,5,1,0,5,132,1053,2926,400030.0397000002,36025,40614,40878,0,0,0,0,0,0,0,0,0,0
96.622,198.644,47.770,24262,1,2,0,0,5,138,1053,2905,400030.04070000019,37892,39968,43869,0,0,0,0,0,0,0,0,0,0
96.348,198.082,47.665,16732,1,3,0,0,4,95,1036,2289,400030.04130000022,24526,26071,31708,0,0,0,0,0,0,0,0,0,0
96.541,198.423,47.487,17722,3,3,1,0,4,96,1035,2319,400030.04160000023,24622,28271,31968,0,0,0,0,0,0,0,0,0,0
96.823,198.262,47.641,17328,4,5,1,0,4,97,1036,2318,400030.04200000025,27390,26519,29068,0,0,0,0,0,0,0,0,0,0
96.706,199.040,47.700,17294,1,2,1,0,4,91,1035,2294,400030.04290000023,27565,27584,30095,0,0,0,0,0,0,0,0,0,0
97.149,199.347,47.790,17530,1,1,0,0,4,97,1034,2315,400030.04370000021,25468,26462,28740,0,0,0,0,0,0,0,0,0,0
96.376,199.113,47.886,17282,1,1,0,0,4,92,1034,2294,400030.04450000019,25597,27149,30805,0,0,0,0,0,0,0,0,0,0
96.918,198.862,47.881,17532,5,5,0,0,4,90,1036,2277,400030.04520000017,27963,29015,28922,0,0,0,0,0,0,0,0,0,0
96.743,197.949,47.733,636,3,5,1,0,2,17,1002,1072,400030.04590000014,418,5276,7184,0,0,0,0,0,0,0,0,0,0
97.421,198.727,47.851,1003,2,5,1,0,2,10,1002,1066,400030.04680000013,829,3312,7123,0,0,0,0,0,0,0,0,0,0
96.593,198.790,47.784,687,2,3,0,0,2,12,1000,1056,400030.04760000011,1731,2661,4375,0,0,0,0,0,0,0,0,0,0
95.866,199.171,47.941,1321,2,2,1,0,2,14,1002,1033,400030.04840000009,2654,3539,6765,0,0,0,0,0,0,0,0,0,0
96.670,199.722,47.811,345,1,1,1,0,2,13,1002,1018,400030.04890000011,3336,2989,6805,0,0,0,0,0,0,0,0,0,0
95.886,199.982,47.745,976,3,3,0,0,2,10,1001,1038,400030.04950000014,3484,5482,4180,0,0,0,0,0,0,0,0,0,0
95.369,200.611,47.553,1476,1,1,1,0,2,19,1002,3008,400030.05030000012,1704,2789,6134,0,0,0,0,0,0,0,0,0,0
96.007,201.606,47.421,1313,4,4,0,0,2,12,1000,2986,400030.05090000015,3450,5122,6093,0,0,0,0,0,0,0,0,0,0
95.719,201.094,47.594,340,2,3,0,1,2,18,1000,3002,400030.05150000018,703,3859,7385,0,0,0,0,0,0,0,0,0,0
95.921,201.539,47.409,835,2,2,0,0,2,13,1000,3000,400030.0519000002,3650,6057,4389,0,0,0,0,0,0,0,0,0,0
