x,y,z,intensity,return_number,number_of_returns,scan_direction_flag,edge_of_flight_line,classification,user_data,point_source_id,scan_angle,gps_time,red,green,blue,nir,wavepacket_index,wavepacket_offset,wavepacket_size,return_point_wave_location,x_t,y_t,z_t,GridID,Confidence
4095.824,2755.514,85.86,48991,1,3,1,1,24,199,95,42,400000.0,7085,519,6850,38826,0,0,32,5.5473304,-0.94349647,-0.03574657,0.77964544,323064,0.10948306
4095.888,2755.648,85.95400000000001,29676,1,2,0,1,16,10,95,-77,400000.0016666945,56829,17311,50095,8738,0,64,32,7.9091644,-0.4357969,-0.72115624,0.49802175,539862,0.2421936
4096.085,2755.81,86.124,52369,3,3,1,0,5,34,90,-53,400000.0033333889,65275,51076,35777,49361,0,128,32,7.1160603,0.1535076,0.38948193,-0.42702997,725136,0.31067878
4096.249,2755.934,86.294,65407,3,2,0,0,13,119,37,-54,400000.00500008336,57904,40748,56276,10458,0,192,32,5.7830296,-0.2562569,0.53256726,0.33477187,690584,0.22363569
4096.417,2756.102,86.431,24390,3,3,1,1,10,230,20,76,400000.0066667778,10029,42437,41210,42840,0,256,32,2.0984519,0.112319626,-0.51465017,0.95613724,408974,0.5886448
4096.486,2756.232,86.49,770,1,3,0,1,25,64,97,-10,400000.00833347224,21745,5524,30326,18009,0,320,32,4.1999326,-0.9243991,-0.7483028,-0.6229743,778496,0.8384376
4096.604,2756.393,86.628,7534,2,2,0,0,10,159,46,49,400000.01000016666,43901,42041,54182,46952,0,384,32,5.745656,0.64257824,0.05198669,-0.039930593,965929,0.72223854
4096.709,2756.484,86.802,52820,3,3,0,0,25,223,64,71,400000.01166686113,16060,38322,26503,24943,0,448,32,6.545806,0.43441194,-0.543976,-0.38125426,299888,0.3350156
4096.898,2756.637,86.855,64680,3,2,1,0,18,212,19,15,400000.01333355554,57178,2503,54977,62153,0,512,32,0.7566031,0.5738754,-0.9628895,0.033516992,761472,0.44793093
4097.045,2756.774,86.937,41882,2,2,1,0,2,133,19,28,400000.01500025,43393,20975,58,58881,0,576,32,3.7418017,-0.030870438,0.3336449,0.43387613,556351,0.036140367
4097.218,2756.861,87.114,24292,3,2,1,0,26,212,59,-16,400000.01666694443,38304,15570,18866,3892,0,640,32,6.3207393,0.15185653,0.97375005,0.755576,296180,0.767975
4097.335,2757.014,87.199,41389,2,3,0,0,14,126,70,30,400000.0183336389,53765,39873,62043,16483,0,704,32,2.8243287,0.07929085,0.6425723,0.3267824,976262,0.40273592
4097.419,2757.119,87.258,13484,2,1,1,0,29,132,50,-66,400000.0200003333,31815,76,33861,34217,0,768,32,5.4732366,-0.64622223,-0.41024902,0.7626374,787264,0.55359083
4097.552,2757.264,87.416,19048,3,2,1,1,26,60,27,-77,400000.0216670278,16148,29466,45052,37282,0,832,32,5.6282086,0.034138646,0.38976216,0.76440406,643873,0.14000724
4097.612,2757.413,87.58200000000001,36169,1,3,1,1,25,28,67,-11,400000.0233337222,9810,55683,64785,30151,0,896,32,2.2147114,-0.555405,-0.40595764,-0.17103837,812513,0.5449866
4097.786,2757.563,87.69200000000001,60280,1,1,1,0,13,130,31,14,400000.0250004167,13604,47703,8820,47753,0,960,32,5.002562,0.11232689,-0.82882655,-0.5719303,803700,0.9126244
4097.93,2757.716,87.85000000000001,33881,3,2,1,0,28,232,66,70,400000.02666711115,15872,2619,12532,10215,0,1024,32,1.7437524,0.7168497,0.6429442,0.40111664,487264,0.24753803
4098.094,2757.828,87.986,18013,2,1,0,0,7,220,61,54,400000.02833380556,52237,5085,3519,22694,0,1088,32,8.703787,-0.96089244,-0.73998153,0.92004097,142573,0.09174324
4098.197,2757.972,88.07300000000001,52642,1,3,1,1,28,90,42,47,400000.03000050003,20693,32099,24497,8358,0,1152,32,5.1543684,0.35969844,0.9929779,0.13939914,198040,0.2637773
4098.393,2758.158,88.185,65506,3,3,0,0,31,115,3,-74,400000.03166719445,39946,60077,32699,9380,0,1216,32,0.37543017,0.7783246,-0.54446167,0.044107426,873482,0.84667414
4098.577,2758.218,88.327,46358,3,3,0,0,19,136,26,-38,400000.0333338889,1362,8360,10703,63027,0,1280,32,7.282829,-0.8718054,-0.43778864,-0.75270903,159170,0.7303361
4098.744,2758.386,88.504,48639,1,1,1,1,0,240,69,-32,400000.03500058333,35332,39955,23497,47210,0,1344,32,5.987839,-0.6812285,0.47495973,0.06540356,187560,0.09446519
